 z u v w u_mag
6.240000000000000000e+02 1.721051705479834837e+01 8.607297787470484352e+00 5.276774300569666079e-03 1.924285582599542721e+01
6.300000000000000000e+02 1.721745184043583166e+01 8.609047182587197256e+00 -5.507767285842660523e-03 1.924984082025719445e+01
6.360000000000000000e+02 1.721465433174763149e+01 8.607223052658723006e+00 5.636346551568660948e-03 1.924652291215688038e+01
6.420000000000000000e+02 1.721788638724633458e+01 8.603136594407457594e+00 -6.035714084922707071e-03 1.924758705230346223e+01
6.480000000000000000e+02 1.722442710938759447e+01 8.583909775103748530e+00 5.865183598316957986e-03 1.924485465453316024e+01
6.540000000000000000e+02 1.721137378408718988e+01 8.612592977813086748e+00 -6.617199079061606044e-03 1.924599150795725322e+01
6.600000000000000000e+02 1.725395613957031316e+01 8.559778703983662140e+00 6.229353035893106169e-03 1.926055172450227460e+01
6.660000000000000000e+02 1.720995707223639926e+01 8.613818634501607008e+00 -6.860399558143927441e-03 1.924527321087931142e+01
6.720000000000000000e+02 1.726787963836021689e+01 8.552778302291248025e+00 6.833632029360091689e-03 1.926991776296842573e+01
6.780000000000000000e+02 1.721009861391572926e+01 8.614839342980538106e+00 -7.016378898817207492e-03 1.924585670827989503e+01
6.840000000000000000e+02 1.727184498025603077e+01 8.546770908967173952e+00 7.280338346572805958e-03 1.927080628815746977e+01
6.900000000000000000e+02 1.720940078098529114e+01 8.617492644783615319e+00 -7.356979380541020172e-03 1.924642067628738218e+01
6.960000000000000000e+02 1.727293040867567342e+01 8.542515025470759582e+00 7.594185654517508592e-03 1.926989220351277154e+01
7.020000000000000000e+02 1.721086229465081630e+01 8.621654038658400410e+00 -7.760017793282046085e-03 1.924959115164849521e+01
7.080000000000000000e+02 1.727211703852822211e+01 8.537201321733231651e+00 7.906196068873185684e-03 1.926680814012421550e+01
7.140000000000000000e+02 1.721222398909812057e+01 8.626735974102576421e+00 -8.169386972593220206e-03 1.925308533603494610e+01
7.200000000000000000e+02 1.726942891902283961e+01 8.531489818851092366e+00 8.267201979599623704e-03 1.926186808346923485e+01
7.260000000000000000e+02 1.721484844522276347e+01 8.632923976065644212e+00 -8.502449187722162932e-03 1.925820489194566321e+01
7.320000000000000000e+02 1.726662372670622503e+01 8.524373529205167443e+00 8.802142293009931201e-03 1.925620202591302998e+01
7.380000000000000000e+02 1.721660263829380710e+01 8.643296586661403325e+00 -8.676561581197258025e-03 1.926442466238270157e+01
7.440000000000000000e+02 1.726879699109251476e+01 8.510436958797157558e+00 9.394714766213622253e-03 1.925198626141967750e+01
7.500000000000000000e+02 1.721649130211874734e+01 8.659475760076281503e+00 -9.033133571803695153e-03 1.927158983563061412e+01
7.560000000000000000e+02 1.727077883836384586e+01 8.508430087034660971e+00 9.683568892967880232e-03 1.925287713566831016e+01
7.620000000000000000e+02 1.721363251429050223e+01 8.653958298658718462e+00 -9.622703047742193691e-03 1.926655732528199394e+01
7.680000000000000000e+02 1.727713320155531562e+01 8.533261431777592776e+00 9.948092341145894912e-03 1.926956100413004336e+01
7.740000000000000000e+02 1.721416608909370893e+01 8.642027302821052359e+00 -1.010998163365299345e-02 1.926167833438553245e+01
7.800000000000000000e+02 1.727093411866785289e+01 8.542653072974495387e+00 1.033299463857708517e-02 1.926816528959994557e+01
7.860000000000000000e+02 1.721527955529857223e+01 8.639411812003993774e+00 -1.053853723220225629e-02 1.926150040067600955e+01
7.920000000000000000e+02 1.726318991434665406e+01 8.536511301074829916e+00 1.074895280049345710e-02 1.925850115539017438e+01
7.980000000000000000e+02 1.721738527315394407e+01 8.640406242729911312e+00 -1.096236359121570934e-02 1.926382869154103972e+01
8.040000000000000000e+02 1.725878117701430270e+01 8.528276533820939420e+00 1.117598286484379477e-02 1.925090006352890271e+01
8.100000000000000000e+02 1.722163232529513266e+01 8.641425482515865397e+00 -1.139680194637178109e-02 1.926808200638090085e+01
8.160000000000000000e+02 1.725796840425131151e+01 8.525443665771163637e+00 1.161945886031890383e-02 1.924891680464639521e+01
8.220000000000000000e+02 1.722384903074399176e+01 8.641308406405190823e+00 -1.185199665258691859e-02 1.927001107623694054e+01
8.280000000000000000e+02 1.726035924420596857e+01 8.527415191549849283e+00 1.208858154231374875e-02 1.925193385667853718e+01
8.340000000000000000e+02 1.722291933959151677e+01 8.638056806210213878e+00 -1.233470272498935968e-02 1.926772244221618990e+01
8.400000000000000000e+02 1.726364328338222975e+01 8.531597766905880675e+00 1.258617367827230202e-02 1.925673124608404763e+01
8.460000000000000000e+02 1.722095181362175964e+01 8.633195656859397715e+00 -1.284464640657358159e-02 1.926378502791286351e+01
8.520000000000000000e+02 1.726598276470791760e+01 8.535231559031977611e+00 1.310835176549978408e-02 1.926043899879678989e+01
8.580000000000000000e+02 1.721953153679380932e+01 8.628454936882150150e+00 -1.337579738689140610e-02 1.926039147723633960e+01
8.640000000000000000e+02 1.726703539673205867e+01 8.537663308591710631e+00 1.364718410882855698e-02 1.926246070491787066e+01
8.700000000000000000e+02 1.721908532425205252e+01 8.624368776776851320e+00 -1.391946274311615071e-02 1.925816268373385043e+01
8.760000000000000000e+02 1.726728812180780537e+01 8.539017834985562772e+00 1.419376485513825295e-02 1.926328804048486276e+01
8.820000000000000000e+02 1.721941856368269441e+01 8.621124060919907350e+00 -1.446694777181199362e-02 1.925700820578446226e+01
8.880000000000000000e+02 1.726725875221476159e+01 8.539083439161089473e+00 1.474014224614566930e-02 1.926329120552056295e+01
8.940000000000000000e+02 1.722020902884753468e+01 8.618923422674612311e+00 -1.501085264701848901e-02 1.925673038936850290e+01
9.000000000000000000e+02 1.726721485840734260e+01 8.537608986259984434e+00 1.527955251830819851e-02 1.926259872481892543e+01
9.060000000000000000e+02 1.722110730926143063e+01 8.617890826329707821e+00 -1.554478514399031640e-02 1.925707197088852141e+01
9.120000000000000000e+02 1.726733996071089550e+01 8.534746361100987500e+00 1.580571816239109001e-02 1.926144269227558681e+01
9.180000000000000000e+02 1.722162836285765053e+01 8.618137997349338164e+00 -1.606212664377529645e-02 1.925764897389221275e+01
